LARGE DATASET AUDIT DUMP | ACCOUNT: 50200012345678 | BILL NO: INV-2026-0098 
TRANSACTION ENTRY #0649 | REF: TXN-00008437 | AMOUNT: Rs. 64900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0650 | REF: TXN-00008450 | AMOUNT: Rs. 65000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0651 | REF: TXN-00008463 | AMOUNT: Rs. 65100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0652 | REF: TXN-00008476 | AMOUNT: Rs. 65200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0653 | REF: TXN-00008489 | AMOUNT: Rs. 65300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0654 | REF: TXN-00008502 | AMOUNT: Rs. 65400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0655 | REF: TXN-00008515 | AMOUNT: Rs. 65500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0656 | REF: TXN-00008528 | AMOUNT: Rs. 65600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0657 | REF: TXN-00008541 | AMOUNT: Rs. 65700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0658 | REF: TXN-00008554 | AMOUNT: Rs. 65800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0659 | REF: TXN-00008567 | AMOUNT: Rs. 65900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0660 | REF: TXN-00008580 | AMOUNT: Rs. 66000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0661 | REF: TXN-00008593 | AMOUNT: Rs. 66100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0662 | REF: TXN-00008606 | AMOUNT: Rs. 66200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0663 | REF: TXN-00008619 | AMOUNT: Rs. 66300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0664 | REF: TXN-00008632 | AMOUNT: Rs. 66400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0665 | REF: TXN-00008645 | AMOUNT: Rs. 66500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0666 | REF: TXN-00008658 | AMOUNT: Rs. 66600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0667 | REF: TXN-00008671 | AMOUNT: Rs. 66700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0668 | REF: TXN-00008684 | AMOUNT: Rs. 66800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0669 | REF: TXN-00008697 | AMOUNT: Rs. 66900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0670 | REF: TXN-00008710 | AMOUNT: Rs. 67000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0671 | REF: TXN-00008723 | AMOUNT: Rs. 67100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0672 | REF: TXN-00008736 | AMOUNT: Rs. 67200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0673 | REF: TXN-00008749 | AMOUNT: Rs. 67300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0674 | REF: TXN-00008762 | AMOUNT: Rs. 67400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0675 | REF: TXN-00008775 | AMOUNT: Rs. 67500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0676 | REF: TXN-00008788 | AMOUNT: Rs. 67600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0677 | REF: TXN-00008801 | AMOUNT: Rs. 67700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0678 | REF: TXN-00008814 | AMOUNT: Rs. 67800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0679 | REF: TXN-00008827 | AMOUNT: Rs. 67900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0680 | REF: TXN-00008840 | AMOUNT: Rs. 68000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0681 | REF: TXN-00008853 | AMOUNT: Rs. 68100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0682 | REF: TXN-00008866 | AMOUNT: Rs. 68200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0683 | REF: TXN-00008879 | AMOUNT: Rs. 68300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0684 | REF: TXN-00008892 | AMOUNT: Rs. 68400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0685 | REF: TXN-00008905 | AMOUNT: Rs. 68500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0686 | REF: TXN-00008918 | AMOUNT: Rs. 68600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0687 | REF: TXN-00008931 | AMOUNT: Rs. 68700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0688 | REF: TXN-00008944 | AMOUNT: Rs. 68800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0689 | REF: TXN-00008957 | AMOUNT: Rs. 68900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0690 | REF: TXN-00008970 | AMOUNT: Rs. 69000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0691 | REF: TXN-00008983 | AMOUNT: Rs. 69100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0692 | REF: TXN-00008996 | AMOUNT: Rs. 69200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0693 | REF: TXN-00009009 | AMOUNT: Rs. 69300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0694 | REF: TXN-00009022 | AMOUNT: Rs. 69400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0695 | REF: TXN-00009035 | AMOUNT: Rs. 69500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0696 | REF: TXN-00009048 | AMOUNT: Rs. 69600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0697 | REF: TXN-00009061 | AMOUNT: Rs. 69700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0698 | REF: TXN-00009074 | AMOUNT: Rs. 69800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0699 | REF: TXN-00009087 | AMOUNT: Rs. 69900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0700 | REF: TXN-00009100 | AMOUNT: Rs. 70000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0701 | REF: TXN-00009113 | AMOUNT: Rs. 70100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0702 | REF: TXN-00009126 | AMOUNT: Rs. 70200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0703 | REF: TXN-00009139 | AMOUNT: Rs. 70300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0704 | REF: TXN-00009152 | AMOUNT: Rs. 70400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0705 | REF: TXN-00009165 | AMOUNT: Rs. 70500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0706 | REF: TXN-00009178 | AMOUNT: Rs. 70600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0707 | REF: TXN-00009191 | AMOUNT: Rs. 70700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0708 | REF: TXN-00009204 | AMOUNT: Rs. 70800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0709 | REF: TXN-00009217 | AMOUNT: Rs. 70900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0710 | REF: TXN-00009230 | AMOUNT: Rs. 71000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0711 | REF: TXN-00009243 | AMOUNT: Rs. 71100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0712 | REF: TXN-00009256 | AMOUNT: Rs. 71200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0713 | REF: TXN-00009269 | AMOUNT: Rs. 71300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0714 | REF: TXN-00009282 | AMOUNT: Rs. 71400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0715 | REF: TXN-00009295 | AMOUNT: Rs. 71500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0716 | REF: TXN-00009308 | AMOUNT: Rs. 71600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0717 | REF: TXN-00009321 | AMOUNT: Rs. 71700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0718 | REF: TXN-00009334 | AMOUNT: Rs. 71800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0719 | REF: TXN-00009347 | AMOUNT: Rs. 71900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0720 | REF: TXN-00009360 | AMOUNT: Rs. 72000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0721 | REF: TXN-00009373 | AMOUNT: Rs. 72100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0722 | REF: TXN-00009386 | AMOUNT: Rs. 72200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0723 | REF: TXN-00009399 | AMOUNT: Rs. 72300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0724 | REF: TXN-00009412 | AMOUNT: Rs. 72400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0725 | REF: TXN-00009425 | AMOUNT: Rs. 72500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0726 | REF: TXN-00009438 | AMOUNT: Rs. 72600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0727 | REF: TXN-00009451 | AMOUNT: Rs. 72700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0728 | REF: TXN-00009464 | AMOUNT: Rs. 72800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0729 | REF: TXN-00009477 | AMOUNT: Rs. 72900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0730 | REF: TXN-00009490 | AMOUNT: Rs. 73000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0731 | REF: TXN-00009503 | AMOUNT: Rs. 73100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0732 | REF: TXN-00009516 | AMOUNT: Rs. 73200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0733 | REF: TXN-00009529 | AMOUNT: Rs. 73300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0734 | REF: TXN-00009542 | AMOUNT: Rs. 73400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0735 | REF: TXN-00009555 | AMOUNT: Rs. 73500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0736 | REF: TXN-00009568 | AMOUNT: Rs. 73600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0737 | REF: TXN-00009581 | AMOUNT: Rs. 73700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0738 | REF: TXN-00009594 | AMOUNT: Rs. 73800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0739 | REF: TXN-00009607 | AMOUNT: Rs. 73900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0740 | REF: TXN-00009620 | AMOUNT: Rs. 74000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0741 | REF: TXN-00009633 | AMOUNT: Rs. 74100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0742 | REF: TXN-00009646 | AMOUNT: Rs. 74200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0743 | REF: TXN-00009659 | AMOUNT: Rs. 74300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0744 | REF: TXN-00009672 | AMOUNT: Rs. 74400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0745 | REF: TXN-00009685 | AMOUNT: Rs. 74500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0746 | REF: TXN-00009698 | AMOUNT: Rs. 74600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0747 | REF: TXN-00009711 | AMOUNT: Rs. 74700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0748 | REF: TXN-00009724 | AMOUNT: Rs. 74800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0749 | REF: TXN-00009737 | AMOUNT: Rs. 74900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0750 | REF: TXN-00009750 | AMOUNT: Rs. 75000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0751 | REF: TXN-00009763 | AMOUNT: Rs. 75100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0752 | REF: TXN-00009776 | AMOUNT: Rs. 75200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0753 | REF: TXN-00009789 | AMOUNT: Rs. 75300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0754 | REF: TXN-00009802 | AMOUNT: Rs. 75400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0755 | REF: TXN-00009815 | AMOUNT: Rs. 75500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0756 | REF: TXN-00009828 | AMOUNT: Rs. 75600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0757 | REF: TXN-00009841 | AMOUNT: Rs. 75700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0758 | REF: TXN-00009854 | AMOUNT: Rs. 75800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0759 | REF: TXN-00009867 | AMOUNT: Rs. 75900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0760 | REF: TXN-00009880 | AMOUNT: Rs. 76000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0761 | REF: TXN-00009893 | AMOUNT: Rs. 76100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0762 | REF: TXN-00009906 | AMOUNT: Rs. 76200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0763 | REF: TXN-00009919 | AMOUNT: Rs. 76300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0764 | REF: TXN-00009932 | AMOUNT: Rs. 76400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0765 | REF: TXN-00009945 | AMOUNT: Rs. 76500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0766 | REF: TXN-00009958 | AMOUNT: Rs. 76600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0767 | REF: TXN-00009971 | AMOUNT: Rs. 76700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0768 | REF: TXN-00009984 | AMOUNT: Rs. 76800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0769 | REF: TXN-00009997 | AMOUNT: Rs. 76900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0770 | REF: TXN-00010010 | AMOUNT: Rs. 77000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0771 | REF: TXN-00010023 | AMOUNT: Rs. 77100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0772 | REF: TXN-00010036 | AMOUNT: Rs. 77200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0773 | REF: TXN-00010049 | AMOUNT: Rs. 77300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0774 | REF: TXN-00010062 | AMOUNT: Rs. 77400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0775 | REF: TXN-00010075 | AMOUNT: Rs. 77500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0776 | REF: TXN-00010088 | AMOUNT: Rs. 77600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0777 | REF: TXN-00010101 | AMOUNT: Rs. 77700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0778 | REF: TXN-00010114 | AMOUNT: Rs. 77800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0779 | REF: TXN-00010127 | AMOUNT: Rs. 77900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0780 | REF: TXN-00010140 | AMOUNT: Rs. 78000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0781 | REF: TXN-00010153 | AMOUNT: Rs. 78100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0782 | REF: TXN-00010166 | AMOUNT: Rs. 78200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0783 | REF: TXN-00010179 | AMOUNT: Rs. 78300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0784 | REF: TXN-00010192 | AMOUNT: Rs. 78400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0785 | REF: TXN-00010205 | AMOUNT: Rs. 78500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0786 | REF: TXN-00010218 | AMOUNT: Rs. 78600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0787 | REF: TXN-00010231 | AMOUNT: Rs. 78700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0788 | REF: TXN-00010244 | AMOUNT: Rs. 78800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0789 | REF: TXN-00010257 | AMOUNT: Rs. 78900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0790 | REF: TXN-00010270 | AMOUNT: Rs. 79000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0791 | REF: TXN-00010283 | AMOUNT: Rs. 79100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0792 | REF: TXN-00010296 | AMOUNT: Rs. 79200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0793 | REF: TXN-00010309 | AMOUNT: Rs. 79300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0794 | REF: TXN-00010322 | AMOUNT: Rs. 79400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0795 | REF: TXN-00010335 | AMOUNT: Rs. 79500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0796 | REF: TXN-00010348 | AMOUNT: Rs. 79600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0797 | REF: TXN-00010361 | AMOUNT: Rs. 79700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0798 | REF: TXN-00010374 | AMOUNT: Rs. 79800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0799 | REF: TXN-00010387 | AMOUNT: Rs. 79900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0800 | REF: TXN-00010400 | AMOUNT: Rs. 80000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0801 | REF: TXN-00010413 | AMOUNT: Rs. 80100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0802 | REF: TXN-00010426 | AMOUNT: Rs. 80200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0803 | REF: TXN-00010439 | AMOUNT: Rs. 80300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0804 | REF: TXN-00010452 | AMOUNT: Rs. 80400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0805 | REF: TXN-00010465 | AMOUNT: Rs. 80500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0806 | REF: TXN-00010478 | AMOUNT: Rs. 80600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0807 | REF: TXN-00010491 | AMOUNT: Rs. 80700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0808 | REF: TXN-00010504 | AMOUNT: Rs. 80800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0809 | REF: TXN-00010517 | AMOUNT: Rs. 80900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0810 | REF: TXN-00010530 | AMOUNT: Rs. 81000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0811 | REF: TXN-00010543 | AMOUNT: Rs. 81100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0812 | REF: TXN-00010556 | AMOUNT: Rs. 81200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0813 | REF: TXN-00010569 | AMOUNT: Rs. 81300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0814 | REF: TXN-00010582 | AMOUNT: Rs. 81400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0815 | REF: TXN-00010595 | AMOUNT: Rs. 81500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0816 | REF: TXN-00010608 | AMOUNT: Rs. 81600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0817 | REF: TXN-00010621 | AMOUNT: Rs. 81700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0818 | REF: TXN-00010634 | AMOUNT: Rs. 81800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0819 | REF: TXN-00010647 | AMOUNT: Rs. 81900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0820 | REF: TXN-00010660 | AMOUNT: Rs. 82000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0821 | REF: TXN-00010673 | AMOUNT: Rs. 82100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0822 | REF: TXN-00010686 | AMOUNT: Rs. 82200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0823 | REF: TXN-00010699 | AMOUNT: Rs. 82300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0824 | REF: TXN-00010712 | AMOUNT: Rs. 82400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0825 | REF: TXN-00010725 | AMOUNT: Rs. 82500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0826 | REF: TXN-00010738 | AMOUNT: Rs. 82600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0827 | REF: TXN-00010751 | AMOUNT: Rs. 82700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0828 | REF: TXN-00010764 | AMOUNT: Rs. 82800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0829 | REF: TXN-00010777 | AMOUNT: Rs. 82900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0830 | REF: TXN-00010790 | AMOUNT: Rs. 83000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0831 | REF: TXN-00010803 | AMOUNT: Rs. 83100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0832 | REF: TXN-00010816 | AMOUNT: Rs. 83200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0833 | REF: TXN-00010829 | AMOUNT: Rs. 83300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0834 | REF: TXN-00010842 | AMOUNT: Rs. 83400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0835 | REF: TXN-00010855 | AMOUNT: Rs. 83500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0836 | REF: TXN-00010868 | AMOUNT: Rs. 83600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0837 | REF: TXN-00010881 | AMOUNT: Rs. 83700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0838 | REF: TXN-00010894 | AMOUNT: Rs. 83800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0839 | REF: TXN-00010907 | AMOUNT: Rs. 83900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0840 | REF: TXN-00010920 | AMOUNT: Rs. 84000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0841 | REF: TXN-00010933 | AMOUNT: Rs. 84100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0842 | REF: TXN-00010946 | AMOUNT: Rs. 84200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0843 | REF: TXN-00010959 | AMOUNT: Rs. 84300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0844 | REF: TXN-00010972 | AMOUNT: Rs. 84400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0845 | REF: TXN-00010985 | AMOUNT: Rs. 84500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0846 | REF: TXN-00010998 | AMOUNT: Rs. 84600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0847 | REF: TXN-00011011 | AMOUNT: Rs. 84700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0848 | REF: TXN-00011024 | AMOUNT: Rs. 84800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0849 | REF: TXN-00011037 | AMOUNT: Rs. 84900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0850 | REF: TXN-00011050 | AMOUNT: Rs. 85000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0851 | REF: TXN-00011063 | AMOUNT: Rs. 85100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0852 | REF: TXN-00011076 | AMOUNT: Rs. 85200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0853 | REF: TXN-00011089 | AMOUNT: Rs. 85300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0854 | REF: TXN-00011102 | AMOUNT: Rs. 85400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0855 | REF: TXN-00011115 | AMOUNT: Rs. 85500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0856 | REF: TXN-00011128 | AMOUNT: Rs. 85600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0857 | REF: TXN-00011141 | AMOUNT: Rs. 85700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0858 | REF: TXN-00011154 | AMOUNT: Rs. 85800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0859 | REF: TXN-00011167 | AMOUNT: Rs. 85900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0860 | REF: TXN-00011180 | AMOUNT: Rs. 86000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0861 | REF: TXN-00011193 | AMOUNT: Rs. 86100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0862 | REF: TXN-00011206 | AMOUNT: Rs. 86200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0863 | REF: TXN-00011219 | AMOUNT: Rs. 86300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0864 | REF: TXN-00011232 | AMOUNT: Rs. 86400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0865 | REF: TXN-00011245 | AMOUNT: Rs. 86500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0866 | REF: TXN-00011258 | AMOUNT: Rs. 86600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0867 | REF: TXN-00011271 | AMOUNT: Rs. 86700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0868 | REF: TXN-00011284 | AMOUNT: Rs. 86800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0869 | REF: TXN-00011297 | AMOUNT: Rs. 86900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0870 | REF: TXN-00011310 | AMOUNT: Rs. 87000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0871 | REF: TXN-00011323 | AMOUNT: Rs. 87100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0872 | REF: TXN-00011336 | AMOUNT: Rs. 87200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0873 | REF: TXN-00011349 | AMOUNT: Rs. 87300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0874 | REF: TXN-00011362 | AMOUNT: Rs. 87400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0875 | REF: TXN-00011375 | AMOUNT: Rs. 87500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0876 | REF: TXN-00011388 | AMOUNT: Rs. 87600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0877 | REF: TXN-00011401 | AMOUNT: Rs. 87700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0878 | REF: TXN-00011414 | AMOUNT: Rs. 87800.00 | STATUS: CLEARED
TRANSACTION ENTRY #0879 | REF: TXN-00011427 | AMOUNT: Rs. 87900.00 | STATUS: CLEARED
TRANSACTION ENTRY #0880 | REF: TXN-00011440 | AMOUNT: Rs. 88000.00 | STATUS: CLEARED
TRANSACTION ENTRY #0881 | REF: TXN-00011453 | AMOUNT: Rs. 88100.00 | STATUS: CLEARED
TRANSACTION ENTRY #0882 | REF: TXN-00011466 | AMOUNT: Rs. 88200.00 | STATUS: CLEARED
TRANSACTION ENTRY #0883 | REF: TXN-00011479 | AMOUNT: Rs. 88300.00 | STATUS: CLEARED
TRANSACTION ENTRY #0884 | REF: TXN-00011492 | AMOUNT: Rs. 88400.00 | STATUS: CLEARED
TRANSACTION ENTRY #0885 | REF: TXN-00011505 | AMOUNT: Rs. 88500.00 | STATUS: CLEARED
TRANSACTION ENTRY #0886 | REF: TXN-00011518 | AMOUNT: Rs. 88600.00 | STATUS: CLEARED
TRANSACTION ENTRY #0887 | REF: TXN-00011531 | AMOUNT: Rs. 88700.00 | STATUS: CLEARED
TRANSACTION ENTRY #0888 | REF: TXN-00011544 | AMOUNT: Rs. 88800.00 | STATUS: CLEARED
